index,title,authors,year,journal,abstract,source,key_points,DOI,open_access_link,results,conclusions,structured_tags
1,In-situ detection of microplastics in the aquatic environment: A systematic literature review,"Abimbola I, McAfee M, Creedon L, Gharbia S",2024,Sci Total Environ,"Reviews in-situ detection methods for microplastics in aquatic systems; highlights optical/spectroscopic and sensor-based approaches, early-stage methods need validation and standardization.",turn0search8,,,,"Reviews in-situ detection methods for microplastics in aquatic systems; highlights optical/spectroscopic and sensor-based approaches, early-stage methods need validation and standardization.","Reviews in-situ detection methods for microplastics in aquatic systems; highlights optical/spectroscopic and sensor-based approaches, early-stage methods need validation and standardization.",Methods;Review/Meta-analysis
2,A systematic review on the current situation of emerging pollutants in Mexico,Aguilar-Aguilar A et al.,2023,Sci Total Environ,"Comprehensive review of emerging pollutants in Mexico (includes microplastics); discusses detection, treatment gaps, and policy/regulatory needs.",turn0search1,,,,"Comprehensive review of emerging pollutants in Mexico (includes microplastics); discusses detection, treatment gaps, and policy/regulatory needs.","Comprehensive review of emerging pollutants in Mexico (includes microplastics); discusses detection, treatment gaps, and policy/regulatory needs.",Methods;Policy/Regulation;Removal/Degradation;Review/Meta-analysis
3,The effect of environmental health education on microplastic pollution awareness,"Ahmet Miraç B, Fatoş U",2024,Public Health Nurs,Educational intervention improved awareness and intended behaviour change regarding microplastic pollution in school-based participants.,turn0search2,,,,Educational intervention improved awareness and intended behaviour change regarding microplastic pollution in school-based participants.,Educational intervention improved awareness and intended behaviour change regarding microplastic pollution in school-based participants.,Other
4,The effects of exposure to microplastics on female reproductive health and pregnancy outcomes: A systematic review and meta-analysis,Ali-Hassanzadeh M et al.,2025,Reprod Toxicol,Systematic review/meta-analysis synthesizing animal and limited human data on MP exposure and female reproductive endpoints; calls for higher-quality epidemiology.,turn0search11,,,,Systematic review/meta-analysis synthesizing animal and limited human data on MP exposure and female reproductive endpoints; calls for higher-quality epidemiology.,Systematic review/meta-analysis synthesizing animal and limited human data on MP exposure and female reproductive endpoints; calls for higher-quality epidemiology.,Exposure;Human Health;Review/Meta-analysis;Toxicity
5,Meta-analysis reveals the combined effects of microplastics and heavy metal on plants,"An Q, Wen C, Yan C",2024,J Hazard Mater,Meta-analysis shows interactive toxicity of MPs and heavy metals in plants; MPs can modulate heavy metal uptake and oxidative stress.,turn0search4,,,,Meta-analysis shows interactive toxicity of MPs and heavy metals in plants; MPs can modulate heavy metal uptake and oxidative stress.,Meta-analysis shows interactive toxicity of MPs and heavy metals in plants; MPs can modulate heavy metal uptake and oxidative stress.,Review/Meta-analysis;Toxicity
6,Microplastics and chemical additives from disposable face masks,Anene DI et al.,2025,Sci Total Environ,"Review of disposable face masks as MP sources; discusses environmental release, potential human exposure routes, and additive leaching concerns.",turn0search5,,,,"Review of disposable face masks as MP sources; discusses environmental release, potential human exposure routes, and additive leaching concerns.","Review of disposable face masks as MP sources; discusses environmental release, potential human exposure routes, and additive leaching concerns.",Exposure;Human Health;Review/Meta-analysis
7,Regional Regression Correlation Model of Microplastic Water Pollution Control,Antohi VM et al.,2023,Int J Environ Res Public Health,Proposes econometric model for regional microplastic pollution control using circular-economy interventions; policy-focused recommendations.,turn0search6,,,,Proposes econometric model for regional microplastic pollution control using circular-economy interventions; policy-focused recommendations.,Proposes econometric model for regional microplastic pollution control using circular-economy interventions; policy-focused recommendations.,Policy/Regulation
8,The neurotoxic threat of micro- and nanoplastics,Araújo AM et al.,2025,Arch Toxicol,"Systematic review summarizing in vitro and in vivo neurotoxicity evidence: MPs/NPs impair BBB, induce oxidative stress, neuroinflammation, mitochondrial dysfunction, and behavioural deficits.",turn0search7,,,,"Systematic review summarizing in vitro and in vivo neurotoxicity evidence: MPs/NPs impair BBB, induce oxidative stress, neuroinflammation, mitochondrial dysfunction, and behavioural deficits.","Systematic review summarizing in vitro and in vivo neurotoxicity evidence: MPs/NPs impair BBB, induce oxidative stress, neuroinflammation, mitochondrial dysfunction, and behavioural deficits.",Review/Meta-analysis;Toxicity
9,Microplastics removal technologies from aqueous environments,Arbabi A et al.,2023,J Environ Health Sci Eng,"Reviews filtration, coagulation, advanced oxidation, and biological treatments for MP removal; suggests combined approaches and WWTP upgrades.",turn0search29,,,,"Reviews filtration, coagulation, advanced oxidation, and biological treatments for MP removal; suggests combined approaches and WWTP upgrades.","Reviews filtration, coagulation, advanced oxidation, and biological treatments for MP removal; suggests combined approaches and WWTP upgrades.",Removal/Degradation;Review/Meta-analysis
10,Microplastic degradation and biofuel production,Arpia AA et al.,2021,J Hazard Mater,"Reviews methods for degrading microplastics and converting plastics to biofuel (thermochemical, catalytic, microbial); evaluates feasibility and trade-offs.",turn0search32,,,,"Reviews methods for degrading microplastics and converting plastics to biofuel (thermochemical, catalytic, microbial); evaluates feasibility and trade-offs.","Reviews methods for degrading microplastics and converting plastics to biofuel (thermochemical, catalytic, microbial); evaluates feasibility and trade-offs.",Methods;Removal/Degradation;Review/Meta-analysis
